iter	Passed	Remaining
862	1576	250
863	1578	248
864	1579	246
865	1581	244
866	1583	242
867	1585	241
868	1587	239
869	1589	237
870	1590	235
871	1592	233
872	1594	231
873	1596	230
874	1598	228
875	1600	226
876	1602	224
877	1604	222
878	1606	221
879	1608	219
880	1609	217
881	1611	215
882	1613	213
883	1615	211
884	1616	210
885	1618	208
886	1620	206
887	1622	204
888	1624	202
889	1626	200
890	1628	199
891	1629	197
892	1631	195
893	1633	193
894	1635	191
895	1637	190
896	1639	188
897	1640	186
898	1642	184
899	1643	182
900	1645	180
901	1647	178
902	1648	177
903	1650	175
904	1652	173
905	1653	171
906	1655	169
907	1656	167
908	1658	166
909	1660	164
910	1663	162
911	1665	160
912	1667	158
913	1669	157
914	1671	155
915	1673	153
916	1675	151
917	1676	149
918	1678	147
919	1680	146
920	1681	144
921	1683	142
922	1684	140
923	1686	138
924	1688	136
925	1690	135
926	1691	133
927	1693	131
928	1695	129
929	1696	127
930	1698	125
931	1699	124
932	1701	122
933	1702	120
934	1704	118
935	1706	116
936	1707	114
937	1709	112
938	1710	111
939	1712	109
940	1714	107
941	1716	105
942	1717	103
943	1719	101
944	1721	100
945	1722	98
946	1724	96
947	1726	94
948	1727	92
949	1729	91
950	1730	89
951	1732	87
952	1734	85
953	1736	83
954	1737	81
955	1739	80
956	1741	78
957	1742	76
958	1744	74
959	1746	72
960	1747	70
961	1749	69
962	1751	67
963	1752	65
964	1754	63
965	1756	61
966	1757	59
967	1759	58
968	1761	56
969	1762	54
970	1764	52
971	1766	50
972	1768	49
973	1771	47
974	1772	45
975	1774	43
976	1776	41
977	1778	40
978	1780	38
979	1782	36
980	1783	34
981	1785	32
982	1786	30
983	1788	29
984	1790	27
985	1791	25
986	1793	23
987	1795	21
988	1797	19
989	1798	18
990	1800	16
991	1801	14
992	1803	12
993	1805	10
994	1806	9
995	1808	7
996	1809	5
997	1811	3
998	1813	1
999	1814	0
